2,222,12
2,617,34
1,32,4
1,691,45
2,200,12
1,592,33
2,74,7
1,140,9
2,301,15
2,33,1
1,209,19
2,371,15
2,177,6
1,81,6
1,502,30
2,394,22
2,251,18
1,107,6
1,99,5
2,44,6
1,137,7
2,518,31
2,512,24
2,153,5
2,175,13
1,170,7
1,287,16
2,390,25
1,793,45
1,998,48
1,88,4
2,280,15
1,274,22
1,641,36
1,397,19
1,172,9
2,48,2
1,498,30
1,154,10
1,123,7
2,247,13
2,213,13
2,209,9
2,220,12
1,156,8
2,115,9
2,96,6
1,145,11
2,639,35
2,323,20
2,333,15
2,360,21
1,603,36
1,180,13
1,506,30
1,355,18
1,348,21
2,513,31
2,405,25
2,129,4
1,138,8
2,313,13
2,362,17
1,87,3
1,107,4
1,213,13
1,331,28
1,324,18
1,349,21
2,200,10
1,96,8
1,253,12
2,350,20
2,282,17
2,85,6
2,189,9
1,216,8
1,35,3
2,493,32
1,185,15
1,692,38
2,453,30
2,207,13
2,220,14
1,124,6
1,146,5
2,156,11
1,201,8
2,106,8
2,57,5
1,449,19
2,60,5
1,140,10
2,55,3
1,172,13
1,34,2
2,209,17
1,90,9
1,100,3
1,169,12
2,132,4
2,144,6
2,181,3
1,113,7
1,360,15
1,284,12
2,100,12
2,872,52
1,49,5
2,205,13
2,391,17
2,715,42
2,242,12
2,121,3
2,28,5
2,265,17
1,385,23
2,451,29
2,381,18
2,264,13
2,108,8
1,207,18
2,998,63
2,261,17
2,27,5
2,386,14
1,60,6
1,123,12
2,88,4
1,323,22
1,190,10
2,66,4
1,151,5
1,233,13
2,87,5
2,380,25
2,392,13
1,306,20
2,96,8
1,32,4
1,133,11
2,107,12
2,65,9
2,194,13
1,103,7
1,75,3
2,1045,67
2,178,10
1,146,6
2,353,22
2,294,19
1,217,11
1,361,19
2,116,7
2,207,7
1,435,22
1,345,21
2,206,14
1,94,6
1,147,5
1,109,5
2,133,7
1,155,6
2,340,12
2,230,14
2,256,16
1,151,11
1,717,39
2,95,5
2,72,6
1,239,16
1,167,12
1,223,8
2,260,12
1,77,5
2,132,10
1,171,14
2,373,27
2,109,9
1,83,10
1,186,11
2,56,4
1,172,14
1,540,35
1,73,3
2,102,4
1,152,8
1,227,13
1,121,9
2,357,20
2,293,14
2,256,15
2,345,20
1,12,5
2,474,31
2,90,6
1,301,21
1,162,4
2,89,7
1,378,18
2,47,3
2,82,7
1,147,13
2,112,8
2,119,5
1,200,12
2,816,49
2,391,25
2,462,22
1,183,5
1,73,6
2,159,9
2,110,8
